Input,Predicted,Actual
The cold won't beat them.,<unk> <unk> <unk> नहीं नहीं ।,ठंड उन्हें हरा नहीं होंगे।
You...you expected something bad?,<unk> <unk> <unk> <unk> <unk> <unk> ? ?,आप को कुछ बुरे का अंदेशा था?
Wait for me here.,"<unk> , <unk> <unk> . .",यहीं रुकना.
I'm holding you responsible.,मैं तुम्हें <unk> <unk> <unk> .,इसके लिए तुम ज़िम्मेदार हो।
Ask me a serious question.,मुझे एक <unk> <unk> . .,मुझे एक गंभीर प्रश्न पूछें.
- I like you alive.,आप <unk> <unk> <unk> . .,मुझे तुम ज़िंदा ही पसंद हो।
If you feel that way..,आप इसे है कि <unk> कर कर,अगर आपको ऐसा लगता है
"Davina, I'm not asking.","नहीं , <unk> , <unk> नहीं . .","डेविना, मैं नहीं कह रहा हूँ।"
We have Castle Sky.,<unk> <unk> <unk> <unk> .,हमने कैसल स्काई पे क़ब्ज़ा कर लिया।
Take Bravo two blocks east.,<unk> <unk> <unk> <unk> <unk> .,ब्रावो दो ब्लॉकों पूर्व ले लो।
The A.L.F. technically failed.,<unk> <unk> <unk> <unk> . .,ए.एल.एफ़. वाले असफल रहे।
- I don't care.,<unk> नहीं नहीं है .,- मुझे परवाह नहीं है.
Kai has taken their chi.,<unk> <unk> <unk> <unk> कर .,काई ने उनकी ऊर्जा ले ली है।
Go and get the car.,<unk> . . .,जाओ और कार मिलता है।
- Listen to me.,<unk> <unk> <unk> <unk> .,- मेरी बात सुनो।
Let's get out of here.,चलो से से बाहर .,चलो अब चलो यहाँ से .
"What do you mean, evacuate?","आप , है , , ? ? ?",हटने का क्या मतलब ?
♪ I do believe... ♪,<unk> . . . . .,♪मुझेविश्वासहै... एक'
- Give me a break.,मैं <unk> <unk> <unk> . .,- मुझे एक विराम.
"Check it out, Stu.","<unk> <unk> , <unk> <unk> .","यहदेखो,छात्र."
You son of a bitch.,<unk> <unk> एक <unk> है .,तुम एक कुतिया का बेटा।
The guard simply didn't notice.,<unk> <unk> <unk> <unk> नहीं . .,गार्डों ने बस ध्यान नहीं दिया.
"Erik, you're not alone.","नहीं , तुम नहीं नहीं रहे हैं ।",एरिक ... तुम अकेले नहीं हो.
-Can we trust him?,"हम , हम <unk> कर ?",-क्या हम उस पर विश्वास है?
.? exceptions can be made?,क्या क्या क्या कर हैं ?,अपवाद बनाये जा सकते है.
You think I'm crazy.,"<unk> , मैं <unk> <unk> <unk> .",तुम्हें मैं सिरफिरा लगता हूँ।
"the violence, the rage.","<unk> , <unk> <unk> .","हिंसा, स्पूर्ति।"
- That's how it is.,यह यह है है है .,- ऐसा ही है.
That award was a sham?,<unk> <unk> <unk> <unk> <unk> ?,यह पुरस्कार एक दिखावा था?
£30 for a month's supply.,<unk> के एक <unk> <unk> <unk> <unk> .,एक महीने की सप्लाई के लिए तीस पौंड.
"Tim, look who's here.","<unk> , यह हो है है","टिम, देखो कौन है।"
A new future for mankind.,<unk> के के के <unk> . .,मानवताकेलिएएकनएभविष्य.
"Who is she, uncle?","वह , वह , वह है ?","ये कौन है,अंकल?"
I got you some bark.,आप <unk> <unk> <unk> <unk> .,मैं तुम्हें कुछ छाल मिला.
It's kind of cool.,<unk> <unk> <unk> है है .,यह सचमुच शानदार है.
"- Come on, fight back.","<unk> , , , . .","- चलो, वापस लड़ो।"
"Hey, baby, it's me.","<unk> , , , , यह है .","हेलो, जान, मैं हूँ।"
Francis Francis is trying to...,<unk> <unk> के के के . .,फ़्रांसिस फ़्रांसिस की कोशिश है...
He wasn't going without you.,मैं तुम्हें कि कि नहीं था .,वह तुम्हारे बिना नहीं जा रहा था.
Some habits die hard.,<unk> <unk> <unk> <unk> <unk> .,कुछ आदतें मुश्किल मर जाते हैं.
My name's Emma Lyndsey.,<unk> <unk> <unk> <unk> है .,मेरा नाम एमा लिंड्सी है.
What did you expect?,<unk> <unk> <unk> <unk> ?,आपने क्या उम्मीद किया?
This is not about ransom.,यह <unk> के <unk> नहीं है है,ये फिरौती के लिए नहीं है।
"Bella, come on please.","<unk> , , <unk> .","बेला, कृपया आओ खेद है."
Just wedge the door up.,<unk> <unk> <unk> <unk> .,बस दरवाजे तक कील.
"Ram, this is very risky.","<unk> , यह <unk> <unk> है .","राम, यह बहुत जोखिम भरा है।"
- Useless fucking phones!,<unk> <unk> <unk> <unk> !,ये सारे फ़ोन बेकार हैं।
WHAT ARE YOU GONNA DO?,<unk> <unk> <unk> <unk> <unk> <unk>,तुम क्या करने वाले हैं?
It was the dinosaurs.,<unk> <unk> <unk> . .,यह डायनासोर था.
"He's the ""very healthy"" guy!",""" <unk> के "" <unk> "" ""","यह वही ""बेहद तंदुरुस्त"" वाला बंदा है!"
Have we passed Eingarsstadir?,<unk> <unk> <unk> <unk> हैं ?,हम Eingarsstadir पारित कर दिया क्या?
"Yeah, you better walk on.","<unk> , तुम <unk> . .","हाँ,तुमबेहतरपरचलते हैं."
Put the knife down.,<unk> <unk> <unk> . .,चाकू नीचे रखो.
NOW YOU MUST TELL ME.,<unk> <unk> <unk> <unk> <unk> .,अब तुम मुझे बताओ चाहिए.
They're the quicker picker-upper.,<unk> <unk> <unk>,वे जल्दी बीनने ऊंची हैं.
"Mr. Marwood, I'm Jim Baxford.","<unk> , <unk> , <unk> <unk> <unk>","श्री Marwood, मैं जिम Baxford हूँ."
(CHATTER ON POLICE RADIO),( <unk> <unk> <unk> <unk> ),(चटर्जीपरपुलिसरेडियो)
"- You're a prick, Andy.",एक <unk> <unk> <unk> <unk> हैं .,"- तुम एक चुभन, एंडी रहे हैं."
"Hey. yo. hey, yo, what?","<unk> , हे , हे ? ? ? ? ?",".! .. अरे यो अरे, यो, क्या"
Is that what you're saying?,यही क्या चाह रहे हो ? ? ?,यही कह रहे हो?
"This is nothing, really.","वह है , , , , है","यह कोई बड़ी बात नहीं है, सच में।"
You have two new messages.,<unk> <unk> <unk> <unk> . .,आपके लिए दो संदेश हैं.
Sorry about your brother.,<unk> के के के के .,क्षमा अपने भाई के बारे में.
He's such a nice boy.,यह एक <unk> <unk> है है .,उन्होंने कहा कि इस तरह एक अच्छा लड़का है।
"..all powerful, modest, thinker, prudent.","<unk> <unk> , <unk> , , <unk> <unk> <unk> .","..all शक्तिशाली, मामूली, विचारक, विवेकी।"
Tell them I'm sorry.,"<unk> , <unk> <unk> <unk> .",उन्हें बताओ कि मैं माफी चाहता हूँ।
The limousine has disappeared..,<unk> <unk> <unk> <unk> . .,-लीमोज़ीन ग़ायब हो गई है
"It's rock, paper, scissors.","<unk> <unk> , , , , है .","यह रॉक, कागज, कैंची."
This is wrong.'S all wrong.,<unk> <unk> <unk> है . .,यह गलत है के सभी गलत!
But I'm not alone.,"<unk> , मैं <unk> नहीं .",पर मैं अकेला नहीं हूँ।
He's at a new studio.,एक <unk> <unk> <unk> <unk> है .,वह एक नया स्टूडियो में है.
"You think you're tough, bitch?","तुम , तुम , , , , ? ?",कमीने ?
"Hey, go back to L.A.","<unk> , <unk> वापस <unk> .","अरे, ला करने के लिए वापस जाना"
Alphonse is always there.,<unk> <unk> <unk> है .,अल्फोंस हमेशा वहाँ है .
What is your business then?,<unk> <unk> <unk> <unk> है है ?,आपके व्यापार तो क्या है?
(ALL SHOUTING IN ENCOURAGEMENT),( <unk> <unk> <unk> <unk> ),(सभीप्रोत्साहनमेंचिल्ला)
"Did he say ""wait""?",""" तुम "" "" "" "" ""","वह ""प्रतीक्षा"" कहा?"
Herring every single day!,<unk> <unk> <unk> <unk> <unk> !,हर रोज मछली!
- What are you saying?,तुम क्या कर रहे हो ?,- आप क्या कह रहे हैं?
Get away from here.,<unk> . से से .,"यहाँ से चलो, भागो."
Yeah if you want.,आप <unk> <unk> <unk> . .,हां अगर तु चाहो.
I fear... robbers... rapers... girl:,. . . . . . . . . .,लड़की:
2nd piece of good news,<unk> के के है .,अच्छी खबर के 2 टुकड़े
This is my lucky purse.,<unk> <unk> <unk> <unk> है .,यह मेरा भाग्यशाली पर्स है।
He's in a bad condition.,एक <unk> एक <unk> है है .,उन्होंने कहा कि एक बुरी हालत में है।
So he's still alive.,वह कहा कि वह है है .,-तो वो अभी ज़िंदा हैं।
"I think so, your Grace.","<unk> , , , , <unk> . .","मुझे ऐसा लगता है, अपने अनुग्रह।"
You don't know him.,मुझे नहीं नहीं नहीं .,आप उसे नहीं जानता.
She didn't die that day,कि कहा कि नहीं था ।,वह उस दिन मरना नहीं था
- Is that it?,यह <unk> <unk> है है,- इतना ही?
And three for White Walkers.,<unk> <unk> <unk> <unk> <unk> .,और व्हाइट वॉकर के लिए तीन।
What are you doing?,तुम क्या कर रहे हैं,क्या कर रहे हो?
"It's company policy, sir...","<unk> <unk> <unk> , , , . .",यह जनाब कंपनी की नीति है...
This world could be ours.,<unk> <unk> <unk> <unk> . .,"इस दुनिया में, हमारा हो सकता है!"
"Don't touch me, man!","मैं , , , , ! !","मुझे मत छुओ, यार!"
Meaning it's been done.,यह <unk> <unk> है है .,यह किया गया है जिसका अर्थ है.
"Uh, no, thank you.","नहीं , , , । .","उह, नहीं, धन्यवाद."
Let go of me.,<unk> . <unk> . .,मुझे छोड़ दो..
"Yes, there were people around.","<unk> , हम <unk> <unk> .","हाँ, चारों ओर लोग थे."
A pack of Gauloises.,<unk> <unk> <unk> <unk> .,एक ग्लूकोस का पैकेट.
"5 days, all expenses paid!","<unk> , <unk> , <unk> <unk> !","5 दिन, सभी खर्चों का भुगतान किया!"
A very poor harvest.,<unk> <unk> <unk> <unk> .,बहुत ही खराब फसल हुई.
"I know these things, Alexander.","<unk> , , , , , <unk>","मैं, सिकंदर इन बातों को जानते हैं."
There's been an explosion.,<unk> <unk> <unk> <unk> है .,वहां पर एक विस्फोट हुआ.
- Where is he?,वह <unk> <unk> है है,वह कहाँ है?
You don't have to hide.,<unk> <unk> नहीं नहीं .,आप को छिपाने के लिए नहीं है.
It's my daughter's favourite movie.,मेरी नाम <unk> नाम नाम है है है,-ये मेरी बेटी की मनपसंद फ़िल्म है।
Just go to... hell!,<unk> . . . .,बस भाड़ में जाओ!
man speaking native language:,पुरुष अपनी 2 में रहा है,पुरुष अपनी मातृभाषा में बोल रहा है:
"- Yes, it's raining!","<unk> , यह <unk> <unk> है !","- हाँ,हो रही है!"
Privacy rights are restored.,<unk> <unk> <unk> <unk> .,गोपनीयता अधिकार बहाल कर रहे हैं.
We shouldn't expose each other,हम <unk> <unk> नहीं नहीं नहीं,हम एक दूसरे का खुलासा नहीं करना चाहिए
Finnerty's been relieved of command.,<unk> <unk> <unk> <unk> <unk> है .,-फ़िनर्टी को कमान से हटा दिया गया है।
You have five seconds.,<unk> <unk> <unk> <unk> .,आपपाँचसेकंडहै.
Pleasure doing business with you.,आप <unk> के साथ रहे .,तुम्हारे साथ कारोबार करके खुशी हुई।
"I'm so sorry, baby.","मैं ' , , , . .",मुझे माफ़ कर दो प्रिय...
"This is your moment, sir.","यह बहुत , , , , .",सर।
That's the dining room.,<unk> <unk> <unk> है .,यह भोजन कक्ष है.
"Very, very calmly, okay?","<unk> , , , ठीक है ?","बहुत , बहुत शांति से, ठीक है?"
"- No, no, no.","नहीं , नहीं , नहीं ,","- नहीं, नहीं, नहीं."
I have to go.,<unk> के . .,मुझे जाना है.
That's what they called you.,वह कहा कि तुम <unk> रहे .,यही कारण है कि वे आप को क्या कहा जाता है।
"Dufresne.? Andy, let me out.","<unk> <unk> , , मुझे मुझे हैं .","एंडी, मुझे बाहर निकालो."
- He was all right.,"<unk> , <unk> था .",- वह सब सही था.
He needs both his dads.,<unk> <unk> <unk> <unk> <unk> .,उसे अपने दोनों पापा की ज़रूरत है।
- Give me Lam-Lam!,<unk> <unk> से,- लैम-लैम मुझे दो!
This is not help.,यह भी नहीं नहीं है,यह मदद नहीं है.
"Mom, Dad, hold on!","<unk> , <unk> , <unk> ! !","मम्मी, पापा, रुकिए!"
Belonged to my dowry.,<unk> <unk> <unk> <unk> . .,मेरे दहेज की थीं.
You said ghosts didn't exist.,"<unk> , <unk> <unk> नहीं नहीं .",पर आपने ही तो कहा था की भूत नही होते हैं .
You should've eaten your breakfast.,मैं अपने <unk> <unk> <unk> . .,तुम्हें अपना नाश्ता खाना चाहिए था.
She is elusive and dangerous.,<unk> और <unk> <unk> <unk> .,वह मायावी और खतरनाक है.
"Ex-mercenary, Central Africa, West Lebanon.","<unk> , <unk> , <unk> <unk> <unk> <unk>","पूर्व भाड़े, मध्य अफ्रीका, पश्चिम लेबनान."
I swear to God.,मैं <unk> <unk> <unk> <unk> .,मैं भगवान की कसम खाता हूँ.
"Right, no need to panic.","नहीं , , कोई <unk> में है .",ठीक है घबराने की ज़रुरत नहीं।
What about poor Parmenion?,<unk> के के <unk> <unk> है,क्या गरीब Parmenion के बारे में?
Good to have you back.,तुम आप के के . .,तुम वापस करने के लिए अच्छा है.
- Say sorry right now.,"<unk> , , <unk> <unk> .",अब ठीक है माफी माँगने।
"-For God's sakes, Forbes.",<unk> <unk> <unk> <unk> <unk> <unk> .,"-के लिए भगवान sakes के, फोर्ब्स."
Put that burrito down.,<unk> <unk> <unk> <unk> .,नीचे रखो कि Burrito।
What the fuck was that?,"<unk> , <unk> था ?",क्या बकवास था?
How'd you know that?,तुम्हें तुम है हो ?,तुमने कैसे जाना?
"I miss you, sweety.","आप , , <unk> <unk> <unk> .","मैं तुम्हें याद आती है, प्रेमी."
They stole my bicycle.,<unk> <unk> <unk> <unk> .,कोई मेरी साइकिल चुरा ले गया.
What happened to your neck?,<unk> अपने के <unk> <unk> ? ?,तुम्हारी गर्दन को क्या हुआ?
What if he got out?,<unk> वह वह <unk> है ?,क्या होगा अगर वह है?
- Don't anybody move inside!,नहीं भी भी <unk> नहीं नहीं !,- किसी को भी अंदर कदम नहीं है!
"- Ford Granada, XL.","<unk> , <unk> <unk> <unk> .","- फ़ोर्ड ग्रनाडा, एक्सएल।"
- It's not my problem,यह भी है नहीं नहीं है,-मुझे नहीं पता
The son of a goose?,<unk> <unk> <unk> <unk> <unk> है ?,किसी बतख का बेटा हूँ?
"Dude, what's she doing here?","ट्रेवर , वह यहाँ क्या रहा है ?","यार, वह यहाँ क्या कर रहा है?"
Father isn't giving me money.,यह मेरा <unk> <unk> नहीं .,पिता ने मुझे पैसे नहीं दे रहा है।
- Let me see it.,"मुझे , यह <unk> . .",- मुझे यह देखते हैं.
That is not possible.,यह <unk> नहीं है .,यह संभव नहीं है.
- God damn it.,<unk> <unk> <unk> है .,- हे भगवान.
Do you have kids?,तुम <unk> <unk> हो ? ?,आपके बच्चे हैं क्या?
Do not use your fingers.,<unk> <unk> <unk> <unk> <unk> <unk> .,अपनी उंगलियों का प्रयोग मत करो.
Leaving them there to die!,<unk> से <unk> से !,उन्हें वहाँ छोड़कर मरने के लिए!
You're waiting for me.,तुम मुझे <unk> <unk> कर रहे हैं,आप मेरा इंतजार कर रहे हैं.
You like that one?,<unk> <unk> <unk> <unk> है,आप एक है कि पसंद है?
- Because I was there.,<unk> <unk> <unk> <unk> .,-क्योंकि मैं वहाँ था।
Get over in the corner.,<unk> <unk> <unk> . .,जाओ पर कोने में.
I just needed money.,<unk> <unk> <unk> <unk> . .,मैं सिर्फ पैसे की जरूरत थी.
"Went fine, no problem.","नहीं , , , , नहीं .","कोई समस्या नहीं है, ठीक हो गया."
There's something wrong with you.,<unk> कारण के के है है .,तुम्हारे साथ कुछ तो गड़बड़ है।
Brossard was on staircase B.,<unk> <unk> <unk> <unk> .,B नंबर की सीढ़ी
- Have a good day.,एक <unk> एक है .,- एक अच्छा दिन है.
How does it work?,यह यह है है है,इसे कैसे इस्तेमाल करें ?
Don't you want to fight?,तुम आप <unk> <unk> नहीं हो ?,तुम लड़ना नहीं चाहोगे?
- Getting himself killed.,"<unk> , <unk> <unk> <unk>",- खुद को मरवायेगा.
Then change the story.,<unk> <unk> <unk> . .,तो कहानी बदल जाते हैं.
You gotta go for me.,मुझसे जाने . . .,-तुम्हें मेरे लिए जाना होगा।
The party is today.,<unk> <unk> <unk> <unk> .,पार्टी आज है.
He took my silver paper.,<unk> <unk> <unk> <unk> <unk> .,उसने मेरा चांदी का कागज ले लिया.
Find your own ship.,<unk> <unk> <unk> <unk> <unk> .,अपने खुद के जहाज का पता लगाएं।
How dare you pass comments!,<unk> <unk> <unk> <unk> <unk> कर !,तुम्हारी हिम्मत कैसे हुयी कमेंट करने की!
And so is up time.,यह . <unk> है . .,सूरज झांकना...
How'd you get in?,तुम <unk> <unk> हो ?,कैसे करेंगे आप में मिलता है?
"No, you can't be dead.","नहीं , तुम नहीं सकते सकते हैं ।","नहीं है, तुम मर नहीं हो सकता।"
Pilot out of alignment.,<unk> <unk> <unk> <unk> .,संरेखण के पायलट बाहर.
We're on our own.,चलो <unk> के <unk> हैं हैं ।,रोजर्स: हम अपने दम पर कर रहे हैं।
What can you do?,क्या क्या कर सकते हैं ?,तुम क्या कर सकते हो?
"Uncle, if the passport's ready..",<unk> <unk> <unk> <unk> <unk> है .,"चाचा, पासपोर्ट के लिए तैयार है .. यदि"
But don't worry about that.,इसके बारे बारे बारे में बारे है .,लेकिन उस के बारे में चिंता मत करो.
We will grow old together.,एक <unk> <unk> <unk> <unk> ।,हम एक साथ ही बड़े होंगे।
"All right, let's do it.","ठीक , , , यह यह हैं .","All right, चलो अब करते है ."
You son of a bitch!,एक <unk> <unk> <unk> है !,तुम सूअर के बच्चे !
I am fed up.,<unk> <unk> <unk> <unk> .,मैं तंग आ गया हूँ।
But you continue to watch.,आप <unk> के लिए <unk> .,लेकिन आप को देखने के लिए जारी है.
"Particularly you, ain't that right?","तुम्हें , तुम , नहीं नहीं ?","विशेष रूप से आप, कि सही नहीं है?"
My wife's in Lannisport.,<unk> <unk> <unk> <unk> है है,मेरी पत्नी Lannisport में की।
Are you kidding me?,तुम मुझे <unk> कर रहे ?,क्या बात है?
166 is back online.,<unk> <unk> <unk> <unk> . .,166 ऑनलाइन वापस आ गया है.
Jonathan just walk away.,<unk> . <unk> . .,जोनाथन बस चले।
Nothing to be afraid of.,<unk> के के लिए है .,डरने की कोई बात नहीं है.
"I'm really sorry, Mr. O'Keefe.","माफ़ <unk> , , , , <unk> . .","मैं माफी चाहता हूँ, श्री ओ 'कीफे."
You would never hurt him.,उन्होंने उसे कभी नहीं नहीं नहीं,तुम उन्हें कभी चोट नहीं पहुँचाते।
A chance at our rebirth.,<unk> <unk> <unk> <unk> है .,हमारे पुनर्जन्म पर एक मौका.
"Don't embarrass yourself, Templeton.","<unk> <unk> , , <unk> , .",खुद को शर्मिंदा मत करो।
He's all I have.,<unk> <unk> <unk> है .,वह सब मेरे पास है.
- What brings you here?,"<unk> , है हो ? ?",- आप यहाँ क्या लाता है?
"Actually, on his protection detail.","<unk> , <unk> <unk> <unk> .",अपनी ही सुरक्षा में।
"""in a local homicide investigation...",""" . <unk> <unk> <unk> <unk> . .",""" एक स्थानीय हत्या की जांच में..."
What game are you playing?,"तुम , क्या हो ? ?",तुम क्या खेल खेल रहे हो?
We're heading towards Five Gardens.,<unk> <unk> <unk> <unk> <unk> रहे हैं .,हम पांच गार्डन की ओर बढ़ रहे हैं।
Give me the bat.,<unk> <unk> <unk> . .,मुझे बल्ला दो.
We will need that ring.,<unk> <unk> <unk> <unk> . .,हम उस अंगूठी की आवश्यकता होगी.
And she was gone.,वह वह कि <unk> था .,और वह चला गया था।
"- It's not we, you.","हम है , हम , हैं .","- यह है हम नहीं, तुम."
It's an old fool's rubbish.,इतिहास <unk> <unk> <unk> <unk> है है,यह एक पुरानी मूर्ख बकवास है.
Get out of here.,<unk> से से . .,यहां से चले जाओ.
But I was her doll.,<unk> <unk> <unk> <unk> <unk> था,लेकिन मैं उसे गुड़िया थी.
What have you done?,<unk> क्या है है ?,यह क्या किया?
How can this happen?,क्या यह नहीं कर हैं,ये केसे हो सकता हे?
- You know what?,"<unk> , क्या क्या ?",- पता है?
Depends. Who's looking for me?,<unk> के के <unk> <unk> है ? ?,देखना पड़ेगा।
What can you do?,क्या क्या कर सकते हैं ?,तुम क्या कर सकते हैं?
You call me murderer?,"<unk> , <unk> <unk> ?",तुम मुझे कातिल कहते हैं?
This is for you.,आप के के लिए है .,यह आपके लिए है.
( engine revving ),( <unk> ) <unk> ),(इंजनrevving)
"I've sinned, betrayed innocent blood.","<unk> <unk> <unk> , <unk> <unk> <unk> .","मैं ने पाप किया है, निर्दोष खून को धोखा दिया है."
KDK 12 to KDK 1.,<unk> के के <unk> <unk> .,"के डी के 12, के डी के 1 को."
You can't do that!,क्या नहीं नहीं नहीं सकता,तुम ऐसा नहीं कर सकते!
To do a good deed,एक <unk> <unk> है .,एक मुबारक काम के लिए
He could be hurt.,<unk> <unk> <unk> नहीं . .,उसे चोट लगी हो सकता है.
It's a set of coordinates.,<unk> <unk> <unk> है है .,यह निर्देशांक का एक सेट है.
Is that the test?,<unk> <unk> <unk> है ?,परीक्षण के िलए है?
- I love you.,"<unk> , आप <unk> .",~ मैं तुमसे प्यार ~.
The porters are dead!,<unk> <unk> <unk> <unk> हैं !,शरीर छूना मत! यह आपके जीवन में ले लेता हूँ!
© P@rM! NdeR M@nkÖÖ ™,<unk> <unk> <unk> <unk> <unk> !,©@ पीआर एम NDEआरएम @nkÖÖ
About the Overlook Hotel?,<unk> <unk> <unk> <unk> ?,होटल ओवरलुक के बारे में?
Let's get to the Stagecoach.,<unk> के के . .,स्टेजकोच पर चलते हैं।
"Come on, come on!","<unk> , , , !","चलो, चलो!"
If not...be my guest!,<unk> . . . . .,अगर नहीं... तो फिर!
"Well, he never said.","नहीं , वह कहा नहीं नहीं था","ठीक है, वह कभी नहीं कहा."
You promised me Jack's blood.,<unk> <unk> <unk> <unk> <unk> <unk> . .,आपने मुझे जैक का खतरा बताया है!
Tonight on The Brain Rapist:,<unk> <unk> <unk> <unk> <unk>,मस्तिष्क बलात्कारी पर आज रात:
Get out of here.,<unk> से से . .,यहाँ से चले जाओ.
"Please, Erik, calm your mind.","<unk> , , , , <unk> . .","कृपया,एरिक! अपने मन को शांत ."
We gotta move now.,<unk> <unk> <unk> <unk> . .,हमअब के लिएकदम होगा.
"- Royce, you're screwed.","<unk> , तुम <unk> <unk> रहे हैं","~ Royce, आप फँस रहे हैं."
Because the soldier led you?,<unk> <unk> <unk> <unk> <unk> ? ?,क्योंकि सैनिक आप का नेतृत्व किया?
"- Thank you, sir.","आप , , , <unk> .",- धन्यवाद महोदय।
He's just in pain.,<unk> <unk> <unk> <unk> है . .,दर्द में है... ..
Catelyn Stark would be proud.,"<unk> , <unk> हो . .",केटेलिन स्टार्क पर गर्व होगा।
"Go and get it, boss.","<unk> , , और . .","जाओ और इसे पाने के लिए, मालिक."
Only a few days.,<unk> <unk> <unk> है .,केवल कुछ दिन.
[man speaking native language],[ पुरुष अपनी में में ] है,[पुरुष अपनी मातृभाषा में बोल रहा है]
Consider it a professional courtesy.,<unk> <unk> <unk> <unk> है .,यह एक पेशेवर शिष्टाचार पर विचार करें।
What's going on in here?,यहाँ यहाँ हो रहा है है,यहाँ क्या चल रहा है?
Have you met Alan?,<unk> <unk> <unk> <unk> <unk> ?,क्या तुमने एलन मिले थे?
"Oh God, three months ago,","<unk> , , , , ,","हे भगवान, तीन महीने पहले"
That's really happy news!,यह <unk> <unk> <unk> है है !,ये तो बहुत अच्छी खबर है.
You let your family die!,"<unk> , <unk> <unk> ! ! !",आप अपने परिवार के मर जाते हैं!
"Odyssey, telemetry shows structural overstress.","<unk> , <unk> <unk> <unk> <unk> <unk>","ओडिसी,टेलीमेटरीशो संरचनात्मक overstress"
I don't got a radio.,<unk> एक <unk> नहीं । .,मैं एक रेडियो नहीं मिला है.
- Didn't do it?,यह यह नहीं नहीं है,- मैंने कुछ नहीं किया.
"Glad to hear it, comrade.","आप <unk> <unk> , <unk> <unk> . .","सुनकर खुश हुआ, कॉमरेड."
Who did this to you?,<unk> यह <unk> हो ? ?,तुम्हें किसने यह किया?
"Alex, what is your gift?","<unk> , क्या क्या क्या क्या ? ?","एलेक्स, अपने उपहार क्या है?"
I'm gonna have to quit.,मैं <unk> के के रहा .,मैं छोड़ने वाला हूँ.
You know who said that?,"<unk> , क्या क्या ? ?",तुम जानते हो वह किसने कहा?
"Only, she wasn't breathing.","नहीं , वह <unk> था था ।","केवल, वह साँस नहीं ले रहा था."
"The poisonous plants, they sing?","<unk> , <unk> , <unk> <unk> <unk> ?","जहरीला पौधों, वे गाते हैं?"
Taken a week ago.,एक <unk> <unk> <unk> .,एक हफ्ते पहले लिया.
"Malcolm, where are you going?","तुम , तुम कहाँ हो ?",तुम कहाँ जा रहे हो?
SVD Dragunovs and Type 50s.,<unk> <unk> <unk> <unk> <unk> .,SVD Dragunovs और प्रकार 50 के दशक.
I've done everything you've asked.,वह कारण कि आप है है .,आपने जो कहा मैंने किया।
"What, you were just...","<unk> , , , . . .","क्या, तुम सिर्फ थे ..."
She's coming back tonight?,"हम , , , आ है ?",वो आज रात आ रही हैं ?
"""Lover where can you be?""",""" , तुम कर सकते हैं हैं ?","""प्रेमी तुम कहाँ हो सकता है?"""
Tell me where you are.,"<unk> , तुम तुम हो .",मुझे बताओ कि तुम कहाँ हो।
Thirty or forty dollars usually.,"<unk> , <unk> <unk> <unk> <unk> .",आमतौर पर $30 और $40 के बीच. ठीक है.
They're chewing us up!,वे <unk> <unk> <unk> हैं हैं,वे हमें चबा रहे हैं!
Are you new to me?,तुम मुझे <unk> <unk> <unk> ? ?,मैं तुमसे पहली बार मिल रहा हूँ क्या?
Residents added new gt;gt;gt;,<unk> <unk> <unk> <unk> <unk> है,निवासियों जोड़ा नया
"Your soul is mine, Alexander.","<unk> <unk> <unk> , है है .","आपकी आत्मा, सिकंदर खान है."
Maria got them all.,"<unk> , <unk> <unk> . .",मारिया उन्हें वह सब मिला.
He thinks it relaxes us.,<unk> <unk> <unk> <unk> <unk> है .,उनको लगता है की इससे हमें आराम मिलेगा .
"Tell your story, Leonard.","<unk> <unk> , , <unk> . .","अपनी कहानी, लियोनार्ड बताओ."
We have to negotiate.,<unk> <unk> <unk> . .,हम बातचीत करनी है.
Don't mess the car up.,<unk> <unk> पर <unk> . .,ऊपर कार क्या गड़बड़ नहीं है.
"Tom, back in the game.","<unk> , , में में .","वापस खेल में टॉम,."
KDK 1 calling KDK 12.,<unk> के <unk> <unk> <unk> <unk>,के डी के 1 बुला रहा है के डी के 12 को
And shine my shoes.,<unk> <unk> <unk> <unk> .,और मेरे जूते चमका दो.
He's on his own.,<unk> <unk> <unk> <unk> .,अब वह अकेला है।
"Open road, chasing sunsets.","<unk> , <unk> <unk> <unk> .","ओपन सड़क, पीछा सूर्यास्त."
"""Sweetheart I swear on you.""",""" जानेमन मैं तुम पर कसम खाता । ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
"Get back here, Doyle!","<unk> , , , <unk> ! !","चलो वापस आओ यहाँ , Doyle!"
( Woman gasping ),( <unk> ) <unk> ),(नारी हांफते)
Is my check ready?,"<unk> , <unk> <unk> ? ?",मेरा चेक तैयार है?
You're going to help me.,तुम मुझे के लिए कर रहे हैं,तुम मुझे मदद करने के लिए जा रहे हैं।
"Come on, just 'till Barstow.","<unk> , <unk> , <unk> . .","चलो, 'अभी तक Barstow."
"Erik, a word, please.","<unk> , , , , .","एरिक, एक शब्द है कृपया."
While the bloom is full,<unk> <unk> <unk> है .,खिलभराहै जबकि
I slept on the sofa.,<unk> <unk> <unk> <unk> .,मैं सोफे पर सो गया था.
This is who I am.,<unk> <unk> <unk> है .,यह है कि मैं कौन हूँ.
"Meaning, you don't know...","नहीं , , , . . . .","अर्थ, तुम नहीं जानते..."
Isn't the mission always open?,<unk> का <unk> <unk> है है ?,क्या सत्संग हमेशा खुला नहीं रहता है?
