Input,Predicted,Actual
You made me lose count.,<unk> <unk> मुझे मुझे मुझे .,तुम मुझे गिनती खो दिया.
"- You insult me, Cleitus.",<unk> <unk> मुझे मुझे मुझे <unk> .,"- तुम, क्लीटस मेरा अपमान."
It's just a bad dream.,<unk> अभी एक है है है .,यह सिर्फ एक बुरा सपना है।
How does that sound?,<unk> कि कि कि है ?,-कहो कैसा लगा?
"Well, I'm a panda.","<unk> , , <unk> <unk> <unk> .","खैर, मैं एक पांडा हूँ।"
I can't promise you that.,<unk> आप नहीं नहीं नहीं नहीं . .,मैं आपको लगता है कि वादा नहीं कर सकता.
We gotta finish our planning.,<unk> कार कार कार है है ।,हम अपनी योजना खत्म होगा।
"Ender, watch our right flank.","<unk> , , , , <unk> <unk> .","एंडर, हमारे सही दिशा घड़ी."
What was all that about?,<unk> <unk> में में में में ?,है कि सभी के बारे में क्या था?
You changed it all.,<unk> <unk> <unk> <unk> . .,आप यह सब बदल गया.
"-Hi, can I help you?","<unk> , तुम आप जा कर कर सकते","- हलो, क्या मैं आपकी मदद कर सकता हूँ?"
Are you kidding me?,<unk> तुम मुझे कर रहे हो,तुम मुझसे मजाक कर रहे?
That was completely unnecessary.,<unk> <unk> <unk> था था .,यह था पूरी तरह अनावश्यक.
- What is it?,<unk> यह है है ?,- यह क्या है?
- You insult me!,<unk> मुझे मुझे <unk> !,- आप मेरा अपमान!
Because you think it's funny.,<unk> <unk> कि कि यह है है .,क्योंकि आपको लगता है कि यह हास्यास्पद है.
"Carol, where are we going?","<unk> , हम कहाँ जा जा रहे ?",हम कहां जा रहे हैं ?
"Sergio, close the door!","<unk> , , ! ! !","सर्जियो, दरवाजा बंद करो!"
Amélie doesn't have a boyfriend.,<unk> एक <unk> नहीं है .,Amélie का boyfriend नहीं है .
"Nothing I can't handle, though.","<unk> <unk> , <unk> नहीं कर । ।","ऐसा कुछ भी नहीं कि मैं नहीं संभाल सकूं, हालांकि."
"No, no, no, no, no!","<unk> , नहीं , , , , नहीं , !","नहीं, नहीं, नहीं, नहीं, नहीं!"
"Can you even breathe, Ava?","<unk> आप कुछ कुछ , , , ,","तुम भी, शुक्रिया सांस ले सकते हैं?"
Go down the hallway.,<unk> <unk> <unk> . .,हॉलवे से नीचे जाओ।
Should auld acquaintance be forgot,<unk> <unk> <unk> <unk> कर <unk>,परिचित भूल जा Auld चाहिए
You know blue ray?,<unk> <unk> <unk> <unk> <unk> <unk>,आप ब्लू रे को जानते हो?
I know. What the fuck?,<unk> <unk> <unk> <unk> है ?,मैं जानता / जानती हूँ.
[ CROWD CHEERING ],[ <unk> <unk> ] ],[भीड़जयकार]
What's going on here...,<unk> यहाँ यहाँ . . . .,यहाँ क्या हो रहा है ...
"- What, these bars?","<unk> <unk> , , <unk> <unk>","- क्या, इन सलाखों? - हाँ।"
So they waited it out.,<unk> <unk> <unk> <unk> कर हैं .,तो वे इसे बाहर इंतजार कर रहे थे.
"Go home, play another game!","<unk> , एक गोवा एक होती होती होती","घर जाओ, और कोई और खेल खेलो!"
Leave my noodles alone.,<unk> <unk> सूपर सूपर .,मेरे नूडल्स को छोड़ दो।
"What are you saying, Phil?","<unk> आप , रहे , , , ,",तुम क्या फिल कह रहे हैं?
"- No, you don't.","<unk> , , तुम नहीं । ।","- नहीं , कभी नहीं ."
Four minutes to target!,<unk> के के वजह ! !,-लक्ष्य में चार मिनट !
- Of course. Carry on.,<unk> <unk> <unk> . .,आगे बोलिए।
Those meetings are bullshit!,<unk> <unk> <unk> कर कर हैं,उन बैठकों बकवास कर रहे हैं!
Where is this guy at?,<unk> यह पत्नी है है ?,जहां इस आदमी पर है?
It is far too heavy.,<unk> <unk> है है है है .,यह बहुत ही भारी है.
They just miss me.,क्योंकि मुझे मुझे मुझे मुझे था,वे बस मुझे याद आती है.
"Find the ring, bastard!","<unk> <unk> , , ! !","ढूँढ अंगूठी बे, कमीने!"
I can promise you that.,<unk> <unk> कुछ भी नहीं कर .,मैं आपको लगता है कि वादा कर सकते हैं.
We're running out of water.,<unk> <unk> <unk> <unk> . . .,"ठीक है, दोस्तों, तुम चाहते हो कुछ करने के लिए पर लटका सकता है."
Frau Junge and Frau Christian...,<unk> <unk> <unk> <unk> <unk> . .,फ्रॉ जुंग फ्रॉ और क्रिस्चियन...
"Tell me something, Sarah.","<unk> मुझे कुछ , , <unk> .",", मुझे सारा कुछ बताओ."
"Trust me, you'll be flying.","<unk> <unk> , , <unk> <unk> । ।","मुझ पर विश्वास करो, तुम उड़ने लगोगे."
Did you hear me?,<unk> मुझे मुझे मुझे चाहते हो,क्या तुमने सुना?
"You were wrong, King.",<unk> <unk> <unk> <unk> <unk> .,"आप गलत थे, महाराजा."
Sort of like humongous fungus.,( <unk> <unk> <unk> <unk> .,humongous कवक की तरह के आधार पर छाँटें.
- You know it?,<unk> कुछ कुछ है है,- आप जानती थी?
Through your defense lab.,<unk> <unk> <unk> <unk> <unk> .,अपने बचाव प्रयोगशाला के माध्यम से।
"So, maybe this is it.","<unk> , , यह यह यह है .",शायद यही कयामत है।
"No, that can't be Cassie.","<unk> , , <unk> नहीं नहीं । .","नहीं, वह Cassie नहीं हो सकता।"
Can you get him back?,<unk> तुम वापस वापस <unk> ? ?,तुम उनसे बात करा सकते हो ?
- What's your name?,<unk> नाम नाम नाम है ?,- तुम्हारा नाम क्या है?
Or before I could ...,<unk> <unk> <unk> . कर .,या मैं कर सकता से पहले ...
To re-boost this company profits.,<unk> <unk> <unk> <unk> <unk> .,फिर से बढ़ावा इस कंपनी के मुनाफे के लिए.
But that is no matter!,<unk> <unk> <unk> नहीं है !,लेकिन वह कोई बात नहीं है!
They're gonna detonate the payload.,<unk> <unk> <unk> <unk> कर हैं,वे पेलोड विस्फोट करने वाले हैं.
That you know of.,<unk> आप कुछ <unk> है .,आप के बारे में पता है.
Have you lost your mind?,<unk> आप अपने को ली ?,आप अपने दिमाग खो दिया?
"Let's go, let's go.","<unk> , चलो चलो चलो चलो ।",- नहीं। चलो।
"Choppers, prepare your knives.","<unk> , <unk> <unk> <unk> <unk> .","हेलिकॉप्टरों, अपने चाकू तैयार करते हैं."
"Oh, baby, you okay?","<unk> , , , , , ठीक है",तुम ठीक हो ?
He just rolled up.,<unk> <unk> <unk> <unk> .,उन्होंने कहा कि अभी तक लुढ़का.
You're okay with this?,<unk> इस इस साथ साथ हैं ?,आप इस के साथ ठीक हो?
I love you so,<unk> आप आप तुम प्यार,मैं तुमसे बहुत प्यार करता हूँ
You can tell her.,<unk> मुझे मुझे कर सकते .,आप उसे बता सकते हैं।
"He's not joking, dude.","<unk> <unk> , , नहीं <unk> . .","वह दोस्त, मज़ाक नहीं कर रहा है."
"Sorry about this, Andrew.","इस इस , , , <unk> .",ऐंड्रऊ इसके लिए माफ़ करना.
That's all that matters.,<unk> <unk> कि है है है .,कि वह सब मामलों है.
It's all good down here.,<unk> यहाँ यहाँ नीचे नीचे है .,यहाँ रास्ता.
We took direct action.,<unk> <unk> <unk> <unk> . .,हमनें सीधी कार्यवाही की.
"- Yeah, and growl.","<unk> <unk> , और और .","- हाँ, और बादल की गरज."
Can nothing be done? !,<unk> कुछ कुछ नहीं है !,कुछ भी नहीं किया जा सकता है?
"Fail the mission, you die.","<unk> , है , , , । .","मिशन असफल हो, तुम मर जाते हैं।"
You know the danger.,<unk> कुछ है है . .,इसे मत करो!
There'll be five tunnels.,<unk> <unk> <unk> <unk> .,वहां पांच सुरंगें होंगी।
We don't recognize it.,<unk> समय नहीं है . .,हम इसे पहचान नहीं है.
He'd better fucking not.,<unk> <unk> नहीं . .,वह बेहतर नहीं कमबख्त होगी.
- I'm an astronomer.,<unk> <unk> <unk> <unk> . .,यह भी मौजूद नहीं है।
"Tower, we have got survivors.","<unk> , हम <unk> <unk> है है .","टॉवर, हम बचे मिल गया है."
A beautiful rose bush.,<unk> <unk> <unk> <unk> <unk> .,एक खूबसूरत गुलाब की टहनी.
You didn't see anything,<unk> कुछ नहीं नहीं नहीं था,तुम कुछ भी नहीं देखा था
And here is theirs.,<unk> <unk> <unk> है .,और यहाँ उनकी है.
"Tim, look who's here.","<unk> , , , , . .","टिम, देखो कौन है।"
"Now, let's get out there.","<unk> , चलो चलो चलो चलो .","अब, यहाँ से निकलते हैं।"
© P@rM! NdeR M@nkÖÖ ™,( <unk> बंद बंद बंद,©@ पीआर एम NDEआरएम @nkÖÖ
(MUSICAL CAR HORN HONKING),( <unk> <unk> <unk> ),(संगीत कार सींग आवाज)
I think after last week...,<unk> मनुष्यों के के की . .,मैं पिछले सप्ताह के बाद लगता है...
You have a good one.,<unk> एक अच्छा एक है .,आप एक अच्छा एक है.
It was hard for you.,<unk> आप के लिए थे . .,यह आप के लिए मुश्किल था.
What are you waiting for?,<unk> आप इंतज़ार इंतज़ार इंतज़ार रहे रहे,किसका इंतज़ार कर रही हो?
- This should do it.,<unk> ऐसा होना चाहिए चाहिए .,- यह यह करना चाहिए.
"No, we aren't finished! Hey!","<unk> , <unk> नहीं नहीं ! ! ! !","नहीं, हम समाप्त नहीं कर रहे हैं!"
- SUPERMAN PREVENTS MISSILE STRIKE!,<unk> <unk> <unk> <unk> <unk>,- सुपरमैन मिसाइल हमले रोकता है!
The police are here.,<unk> यहाँ यहाँ . . .,पुलिस यहाँ आ गई है.
So here's the deal.,<unk> <unk> <unk> है . .,तो यहाँ सौदा है.
It's okay. It's okay.,"<unk> <unk> है , है ठीक है . .",ठीक है.
You can do it!,<unk> यह कर सकते सकते !,तुम यह कर सकते हो!
What do you mean?,<unk> कुछ कुछ है है ?,आपका क्या अर्थ है?
Clingy wet swimming trunks.,<unk> <unk> <unk> <unk> .,चीपचीपा swimming costume.
What are you talking about?,<unk> आप बारे में कर रहे रहे,आप किस बारे में बात कर रहे हैं?
[ CREAKING CONTINUES ],[ <unk> <unk> ] ],[चरमराती जारी]
He'd have to leave me.,मुझे मुझे लिए . .,उन्होंने कहा कि मुझे छोड़ने के लिए होगा।
"Ah, Mr Vincent, yes.","<unk> , <unk> , , , , ,","- ओह, मिस्टर विन्सेंट, हाँ।"
Let our parents go!,<unk> में <unk> ! !,हमारे मम्मी-पापा को जाने दो!
"So, what do you think?","<unk> , , क्या क्या क्या है ?","तो, आप क्या सोचते हैं?"
"Did she get HIV, too?","<unk> वह है , , , , है",वह भी एचआईवी मिलता है?
The process is highly volatile.,<unk> <unk> <unk> <unk> है .,प्रक्रिया अत्यधिक अस्थिर है।
"Pinned down, brother Duke.","<unk> , , , , .","भाई ड्यूक, नीचे टिकी."
- What do you got?,<unk> क्या क्या है है ?,- तुम्हें क्या मिला?
I am sleeping with her.,लक्ष्य के के लिए . .,तुम धीरे करोगे?
Yes. I know that.,<unk> <unk> कुछ कुछ . . .,"हा, मैं यह जानता हूँ।"
"I love you, really.","<unk> , , , , , ,",मैं क्या तुम सच में प्यार करता हूँ.
Gather roses while you may,<unk> <unk> <unk> <unk> <unk> आप,गुलाब इकट्ठा जबकि आप कर सकते हैं
"'No luck, you'll die'","' <unk> ' <unk> , , , , ,","'कोई भाग्य, तुम मर जाओगे'"
Give me the dog.,<unk> मुझे मुझे . .,मेरे कुत्ते को दे.
A sorceress from another dimension.,<unk> <unk> <unk> <unk> <unk> . .,एक और आयाम से एक जादूगरनी।
"You see, we're not gay.","<unk> <unk> , , नहीं नहीं . . .",हम समलैंगिक नहीं।
He saw what Clark did.,<unk> <unk> <unk> किया किया .,उन्होंने कहा कि क्लार्क ने क्या किया देखा.
You can't have our friend.,<unk> हमारे <unk> नहीं नहीं नहीं है ।,तुम हमारे मित्र नहीं हो सकता.
He's pushing them hard.,<unk> <unk> <unk> में है है .,वह मुश्किल से उन्हें प्रेरित कर रहा है.
I reckon he is.,वह <unk> है है,मुझे लगता है वह है लगता है.
"So, have you been arrested?","<unk> , , आप को पालन ली ?",क्या आप कभी गिरफ़्तार हुई हैं?
And kutepati my promise.,<unk> <unk> <unk> <unk> <unk> .,और kutepati अपना वादा.
"He dies, we die.","<unk> <unk> , , , हम .","वह मर जाता है, हम मर जाते हैं।"
- You a lesbian?,<unk> <unk> <unk> <unk> ?,- तुम एक समलैंगिक?
"Last night in South Korea,","<unk> <unk> <unk> <unk> , ,","कल रात दक्षिण कोरिया में,"
Why wouldn't I be coming?,<unk> <unk> नहीं नहीं किया ?,-आता क्यों नहीं मैं ?
(Chatter) (Car horn honks),( <unk> ) ) ) ) ) ) ),(चैटर) (कार सींग honks)
-What are you doing?,<unk> तुम क्या कर रहे हो,- क्या कर रहे हो?
"- Come on, Meatlug!","<unk> , , <unk> !","चलो, मीटलग!"
I THOUGHT I COULD.,<unk> <unk> <unk> <unk> .,मैं मैं कर सकता है.
Are you enjoying the festivities?,<unk> <unk> <unk> <unk> ? ?,आप उत्सव का आनंद ले रहे हैं?
I thought I'd lost you.,<unk> <unk> <unk> <unk> <unk> . . .,मैं मैं तुम्हें खो दिया होगा.
The smoke will blind Okkoto.,<unk> <unk> <unk> <unk> <unk> .,आप के रूप में होगा.
A tin foil hat?,<unk> <unk> <unk> <unk> ?,एक टिन पत्र टोपी?
"Godspeed guardian, on the package.","<unk> <unk> , , . .","पैकेज पर Godspeed अभिभावक,."
"It's chocolate, your favorite.","<unk> <unk> , , , . .","यह अपने पसंदीदा, चॉकलेट है."
The cigarettes are for Mandi.,<unk> <unk> के लिए <unk> कर .,सिगरेट मैंडी के लिए हैं.
"The army grows restless, questioning.",<unk> <unk> <unk> <unk> <unk> <unk> .,"सेना बेचैन, पूछताछ बढ़ता है."
"""Lover where can you be?""",""" <unk> तुम पर कर कर हो हैं हैं","""प्रेमी तुम कहाँ हो सकता है?"""
Year after year after year.,रोम साल साल के के के .,साल दर साल दर साल।
We're almost out of fuel.,<unk> <unk> <unk> <unk> हैं . .,हमारा ईंधन समाप्ति के कगार पर है।
From the fifth fucking floor?,<unk> <unk> <unk> <unk> <unk> ? ?,पांचवें कमबख्त मंजिल से?
- Kills without provocation.,<unk> <unk> <unk> <unk> .,- जो धन नहीं चाहता...
Revati's on her way.,<unk> आखिरी पर पर है है,रेवती के लिए अपने रास्ते पर।
I put you here.,<unk> यहाँ आप यहाँ . .,मैं यहाँ डाल दिया.
"'Are you okay, my dear?","<unk> <unk> , , , , , , ,","'आप ठीक है, मेरे प्रिय हैं?"
"- Shut up, all right.","<unk> <unk> , , , , .","- अप, ठीक रहो."
- What is it?,<unk> यह है है ?,~ तुरंत क्या है?
Do as they wish.,<unk> वे वे वे कर वे,जो ये चाहते हैं करो.
Others build matchstick houses.,<unk> <unk> <unk> <unk> .,अन्य माचिस तिल्लियों का घर बनाते हैं.
"Sorry, I gotta ask.","<unk> , <unk> <unk> <unk> . .",मुझे पूछना पड़ेगा।
Of course I do.,<unk> <unk> <unk> . .,बेशक जानता हूँ।
"Who are they, daddy?","<unk> वे , रहे , , ,","वे कौन, पिताजी कर रहे हैं?"
She was the big one.,<unk> एक था था .,वह इसकी सबसे खास वाली थी।
We must give him back.,<unk> वापस वापस जाना । .,हिरण परमेश्वर ने अपने घाव चंगा है? !
That can right there.,<unk> यहाँ हो कर सकते .,यही कर सकते हैं अभी भी वहीं है.
"They fucked, not me.","<unk> <unk> , , मुझे मुझे .","गलती उन्होंने की है, मैंने नहीं।"
But no need to apologise.,<unk> की के <unk> नहीं है है,"- हाँ, माफ़ करना, मैं ये ले आऊँगा।"
You should go by.,<unk> जाना जाना जाना चाहिए,आप गुजरना होगा.
But how did you know?,<unk> आप कुछ है ? ?,लेकिन तुम्हें कैसे पता चला?
I think I see it.,<unk> <unk> <unk> <unk> <unk> है .,मेरे खयाल से मुझे दिख गया।
"This is my home, too.","<unk> मेरे जीवन , , , है .",यह मेरा भी घर है.
How do I know?,<unk> <unk> कुछ <unk> है ?,मैं कैसे जानता हूँ?
What's all this noise?,<unk> <unk> यह <unk> <unk> है है,क्या यह सब शोर है?
-It's a rubber thumb.,<unk> <unk> <unk> <unk> है .,", यह एक रबर अंगूठे है."
Bella I envy you.,<unk> <unk> <unk> <unk> <unk> .,बेला मैं तुम्हें ईर्ष्या.
(BAN D PLAYING ILENE),( <unk> <unk> <unk> ),(प्रतिबंध डी खेल Ilene)
Is anyone following you?,<unk> <unk> <unk> का <unk> <unk>,किसी को भी तुम पीछा कर रहा है?
No it is not.,<unk> <unk> नहीं है . .,"नहीं, यह नहीं है."
The key to our escape..,<unk> के के <unk> के . .,"नहीं, नहीं मुझे डरा हुआ लड़का नहीं है..."
Take your money and go.,<unk> और <unk> <unk> <unk> .,अपने पैसे ले लो और जाओ.
"This is Victor, is Beatrice...","<unk> <unk> <unk> , <unk> . . .","यह विक्टर है, बीट्राइस है..."
(JOE SCREAMS) JOE 1:,( <unk> <unk> ) ),(जोचिल्लाती) जो1 :
The man has enough trouble.,"<unk> मां ने , है है है",इस के पास पहले ही पर्याप्त मुसीबतें है.
If that's what it takes.,<unk> कि कि <unk> है है .,कि यह क्या लगता है हैं.
"Sir, we asked Sharmila's friends.","<unk> , हम <unk> <unk> <unk> है .","महोदय, हम शर्मिला के दोस्तों से पूछा।"
"- No, it's so small!","<unk> , यह <unk> <unk> <unk>","- नहीं, यह इतना छोटा है!"
I want to see him.,<unk> उसे के करना लिए .,मैं उसे देखना चाहता हूँ.
- I've waited long enough.,<unk> समय समय समय है .,~ लंबी प्रतीक्षा मैं हूँ.
"Besides, we've grown close.","<unk> , हम चलो है है .","इसके अलावा, हम करीब हो गई है."
♪ I do believe... ♪,<unk> <unk> <unk> . . . .,♪मुझेविश्वासहै... एक'
I'm Priya's brother Shiva!,<unk> <unk> छोटे <unk> <unk> <unk>,मैं प्रिया का भाई शिवा बोल रहा हूँ !
Did you find the spear?,<unk> <unk> <unk> <unk> ? ?,आप भाला पाते हैं?
She was looking amazing.,<unk> <unk> <unk> था .,वह अद्भुत लग रही थी।
"Look, I understand you're annoyed.","<unk> , <unk> , <unk> <unk> <unk> <unk> रहे",देखो कि मैं जानता हूं कि तुम परेशान हो.
Charles has never understood.,<unk> कभी कभी नहीं नहीं है,"चार्ल्स समझ गया, कभी नहीं किया है."
Where is the ring?,<unk> <unk> क्या है ?,अंगूठी कहाँ है?
I believe I'm right...,<unk> ने . <unk> . . .,मुझे लगता है जहाँ तक मैं सही हूँ ...
Do narcissists wear balaclavas?,<unk> <unk> <unk> <unk> <unk> ?,आत्मकामी बैलाक्लावा टोपी पहनते हैं?
"Well, not bad yourself.","<unk> , , नहीं नहीं नहीं ।","वैसे, आपकी उड़ान भी बुरी नहीं थी।"
"It's 500 grand, he's history.","<unk> <unk> <unk> , , , है है","यह 500 भव्य है, वह इतिहास है."
"I love you, Simon.","<unk> <unk> , , , <unk> .","मैं,साइमनतुमसेप्यारकरता हूँ"
"Saru, wait a minute.","<unk> , एक मिनट मिनट . .","Saru, एक मिनट रुको।"
"Late last night, your daughter...","<unk> अपनी , , में . . .",कल देर रात अपनी बेटी ...
Your fiancé is an asshat.,<unk> <unk> <unk> <unk> है .,अपने मंगेतर एक asshat है।
No danger of that.,<unk> की की की है .,इस बात का कोई खतरा नहीं.
- What is it?,<unk> यह है है ?,-यह क्या है?
Back and to the left!,<unk> और के के ! !,पीछे और बाईं ओर!
I give you mine anyway.,<unk> <unk> मुझे <unk> . . .,मैं मेरा वैसे भी दे.
We're not gonna make it.,<unk> इसे नहीं नहीं . हैं .,हम नहीं निकल पाएंगे।
"Hey, what's up man?","<unk> , , , क्या है ?","अरे, यार क्या हो रहा है?"
That suits us just fine.,"<unk> <unk> अभी अभी , , .",हमें अभी ठीक सूट है.
You are an idiot.,<unk> एक <unk> कर हैं .,तुम बेवक़ूफ़ हो।
"Milking a cow, making cheese.","<unk> <unk> <unk> <unk> , <unk> <unk> .",एक खेत में?
I'm saving the human race.,<unk> <unk> <unk> <unk> <unk> . .,मैं मानव जाति को बचा रहा हूँ।
You know Joe Bragg?,<unk> <unk> <unk> <unk> <unk> ?,आप जो ब्रैग पता है?
We'll make you another one.,<unk> एक एक <unk> . . .,तुम्हारे लिए एक और बना देंगे।
holding the White House hostage.,<unk> <unk> <unk> <unk> .,जिन्होंने व्हाइट हाउस पर क़ब्ज़ा किया हुआ है।
Mrs. Chow always wins that.,<unk> हमेशा हमेशा <unk> <unk> . .,श्रीमती चाओ हमेशा जीत जाती हैं।
And then we got one.,<unk> <unk> हम एक मिला है .,और वह हमें मिल गया।
"Tell your story, Leonard.","<unk> <unk> <unk> , , <unk> .","अपनी कहानी, लियोनार्ड बताओ."
"God, was not it amazing?","<unk> , , नहीं नहीं नहीं ? ?",भगवान आश्चर्यजनक नहीं था?
"I am your servant, Father.",<unk> अपने <unk> <unk> <unk> <unk> . .,"मैं तेरा दास हूँ, पिता."
Don't worry about him.,<unk> में बारे में चिंता नहीं करो,उसपे ध्यान मत दीजिए।
You'll thank me later.,<unk> <unk> <unk> . .,तुम मुझे बाद में धन्यवाद करेंगे.
We took Casterly Rock.,<unk> <unk> <unk> <unk> .,हम Casterly रॉक ले लिया।
- Stay where you are!,<unk> कहाँ बंद बंद एम nderएम,- जहाँ हो वहीं रुक जाओ!
That's not a bad picture.,<unk> एक <unk> नहीं नहीं है .,फ़ोटो बुरा तो नहीं है।
I think he heard us.,<unk> वह कि कि कि है है,लगता है उसने हमारी बातें सुन लीं।
You're joking about me too.,<unk> इसके बारे में कर रहे रहे हैं,तुम मुझे के बारे में भी मजाक कर रहे हैं।
- Look who's back!,<unk> <unk> <unk> ! !,~ देखो कौन वापस आ गया है ~!
Drinking's all we have left.,<unk> <unk> पास है है है .,पीना हमने छोड़ दिया है.
(FOLK MUSIC PLAYING ON RADIO),( <unk> <unk> <unk> ) ),(लोकसंगीतखेलपररेडियो)
I've few jobs to complete.,<unk> के के <unk> है . .,मुझे कुछ काम पूरे करने हैं.
Now there are five.,<unk> <unk> <unk> . .,अब वहाँ पाँच रहे हैं।
[ WIND CHIMES RINGING ],[ <unk> <unk> ] ] ],[पवन बज झंकार]
Are the Russians that close?,<unk> <unk> <unk> है ?,क्या रूसी इतने करीब हैं?
And take out the vermin..,<unk> <unk> <unk> <unk> . .,और कीड़े बाहर ले ..
What do I do?,<unk> <unk> <unk> है ? ?,मैं क्या करूं?
"No, what am I?","<unk> , , <unk> <unk> क्या ?","नहीं, मैं क्या कर रहा हूँ?"
This is just a memory.,<unk> <unk> <unk> <unk> है .,यह सिर्फ एक स्मृति है.
"How you doin', man?","आप आप <unk> <unk> , , ?","तुम कैसे हो, यार?"
- I'm not a child,<unk> एक एक नहीं नहीं .,-मैं बच्चा नहीं हूँ?
She's here with me..,<unk> <unk> के लिए . . .,-वो यहां ओवल ऑफ़िस में
- Are you crazy?,<unk> <unk> <unk> <unk> ?,- तुम पागल हो?
"- Climb. Move, fast!","<unk> <unk> <unk> , ! !","ऊपर, तेज!"
2 x 2 is 5.,<unk> <unk> <unk> <unk> है .,2 गुना 2 होता है 5.
"Very good, you're very good.","<unk> , अच्छा अच्छा बहुत हो हो हो .",बहुत अच्छे। बहुत अच्छे। क्या?
Everything that's good for you.,<unk> आप के लिए है है है .,वह सब जो तुम्हारे लिए अच्छा है।
Soooper demand for my drug,<unk> <unk> के <unk> <unk> <unk>,मेरी दवा के लिए Soooper मांग
"All right, Francis Francis.","<unk> <unk> , , <unk> <unk> .","अच्छा, फ्रांसिस फ्रांसिस।"
"Don't go overboard, my dear...","<unk> <unk> <unk> , , . . .","Don't go overboard, my dear..."
"Help me out, come on.","<unk> मुझे , , , .","- मेरी मदद करो, आओ! - वो है .."
Unless we make him one.,<unk> <unk> <unk> नहीं . .,हम उसे एक बनाने जब तक।
It's not the only thing.,<unk> समय नहीं नहीं है .,यह केवल एक चीज नहीं है।
We're taking you with us.,<unk> <unk> के लिए रहे हैं हैं .,हम आपको हमारे साथ ले जा रहे हैं.
"I mean, Andrew Davis.","<unk> <unk> <unk> , <unk> <unk> .","मेरा मतलब है, ऐन्ड्रियू डेविस."
( BABY CRYING ),( <unk> <unk> ),(बच्चा रो)
"A long time ago, Charlie.","<unk> एक , , , <unk> .","बहुत समय पहले, चार्ली."
"- Well, you're welcome.","<unk> , , तुम मेहमान हो ।","- ठीक है, तुम्हारा स्वागत है।"
( trunk clicks ),( रॉक ) ),(ट्रंक क्लिक्स )
That's how he put it.,<unk> कारण कि कि है है है .,यही वह कहता.
I can see the turnoff.,<unk> <unk> <unk> कर सकते . .,मैं turnoff देख सकते हैं.
What have you found?,<unk> क्या क्या है ?,क्या मिला?
He's gone into the void!,<unk> <unk> बंद बंद है !,- क्या? वह शून्य में चला गया है.
[ POLICE DISPATCH CHATTER ],[ <unk> <unk> ] ] ],[पुलिस प्रेषण बकवास]
You don't read? .?,<unk> कुछ नहीं नहीं है ?,तुम पढ़ नहीं पाते ...
"TARS, what's taking so long?","<unk> , , कि , क्या है है ?","TARS, इतना समय क्यों लग रहा है ?"
He'll pull himself together.,<unk> <unk> <unk> के <unk> करेंगे .,वह अपने आप को संभाल लेगा.
Well I'm very confused.,<unk> <unk> <unk> <unk> <unk> . .,खैर... ...मैं बहुत उलझन में हूँ.
Can I ask you something?,<unk> <unk> कुछ कुछ कुछ कुछ ?,क्या मैं तुमसे कुछ पूछ सकता है?
I really can't say.,<unk> <unk> है नहीं नहीं . .,मैं वास्तव में नहीं कह सकता.
"My poor, poor, ill-fated son.",<unk> बेटा <unk> .,"मेरा, गरीब गरीब, बदकिस्मत बेटे."
I'm not gonna die.,<unk> यहाँ नहीं नहीं रहा .,मैं मरने वाला नहीं हूँ।
"Oh, my skin burns.","<unk> , , <unk> .","ओह, मेरी त्वचा जलता है."
"Slowly. Go, go, go!","<unk> <unk> <unk> , , ! !",जाओ!
That's what I thought.,<unk> <unk> <unk> <unk> है है है,कि मैं क्या सोचा है.
) Are we there yet?,<unk> <unk> क्या क्या क्या है ?,) हम अभी तक कर रहे हैं?
"Sayin' hey, sweet baby","<unk> <unk> , , , ,","कह'अरे,प्याराबच्चा"
I love this guy.,<unk> इस इस इस की .,मुझे इस लड़के से प्यार है।
- We gotta take it.,<unk> इसे जाना होगा .,- हमें वो लेना होगा.
Emphasis on the homo.,<unk> <unk> पर . .,बीस मिनट में मेरी मीटिंग है।
What do I do?,<unk> <unk> <unk> है ? ?,मैंक्याकरूँ?
It felt like martial law.,<unk> <unk> <unk> तरह पसंद कर हैं,यह मार्शल लॉ की तरह लग रहा था.
You really got it cozy!,<unk> <unk> <unk> <unk> <unk> ! !,तुम्हारे तो वास्तव में ठाठ हैं!
- Leave it to me,<unk> मुझे लिए लिए लिए,- इसे मेरे ऊपर छोड़ दो
Some mistakes cannot be pardoned.,<unk> <unk> <unk> नहीं कर सकते . .,कुछ गलतियों को माफ़ नहीं किया जा सकता।
They're fighting in there.,<unk> <unk> <unk> <unk> कर हैं .,वे वहाँ लड़ रहे हैं.
"- With the enchiladas, too.","<unk> <unk> , , , .","- भी enchiladas, के साथ."
I love you too.,<unk> ने तुम तुम प्यार करता,मैं भी तुमसे प्यार करती हूं.
- THERE WE GO.,<unk> <unk> <unk> <unk> .,-हमवहाँजातेहैं
The limousine has disappeared..,<unk> <unk> <unk> <unk> . .,-लीमोज़ीन ग़ायब हो गई है
"From the kremlin, sir.","<unk> <unk> , , , .","वहाँपैलेससे आदेश है, श्रीमान !"
Projectile 2 is Superman.,<unk> <unk> <unk> <unk> .,फेंकने 2 सुपरमैन है।
Live on Intense TV.,<unk> <unk> <unk> <unk> .,तीव्र टीवी पर लाइव
-l never got to it.,मैं इसे लिए नहीं नहीं है है,मैं कभी नहीं मिला.
"Put the gun down, Cameron.","<unk> , , , . .",", कैमरून बंदूक नीचे रखो."
"- Yeah, it's gone down.","<unk> , , चलो नीचे नीचे है .","- हाँ, नीचे चला गया है."
